modelo;variavel;importancia
XGBoost_Neutro_ 3 a 6 M;disponibilidade e confiabilidade mecânica  (csat);0.08839732
XGBoost_Neutro_ 3 a 6 M;custo de manutenção (csat);0.08452511
XGBoost_Neutro_ 3 a 6 M;facilidade de operação (csat);0.07091934
XGBoost_Neutro_ 3 a 6 M;geração e transmissão de dados para gestão da frota (csat);0.0663211
XGBoost_Neutro_ 3 a 6 M;capacidade operacional (hectares por hora) (csat);0.0
XGBoost_Neutro_ 3 a 6 M;conforto e ergonomia (csat);0.0
XGBoost_Neutro_ 3 a 6 M;facilidade para realização de manutenções (csat);0.0
XGBoost_Promotor_ 3 a 6 M;capacidade operacional (hectares por hora) (csat);0.48962697
XGBoost_Promotor_ 3 a 6 M;adequação as diversas operações e implementos (csat);0.21749176
XGBoost_Promotor_ 3 a 6 M;facilidade de operação (csat);0.080089375
XGBoost_Promotor_ 3 a 6 M;adaptabilidade as mais diversas condições de trabalho (csat);0.062222634
XGBoost_Promotor_ 3 a 6 M;custo de manutenção (csat);0.044175748
XGBoost_Promotor_ 3 a 6 M;geração e transmissão de dados para gestão da frota (csat);0.04305394
XGBoost_Promotor_ 3 a 6 M;consumo de combustível (litros por hectares) (csat);0.035684783
XGBoost_Promotor_ 3 a 6 M;disponibilidade e confiabilidade mecânica  (csat);0.02765474
XGBoost_Promotor_ 3 a 6 M;conforto e ergonomia (csat);0.0
XGBoost_Promotor_ 3 a 6 M;facilidade para realização de manutenções (csat);0.0
