modelo;variavel;importancia
XGBoost_Neutro_Norte;adaptabilidade as mais diversas condições de trabalho (csat);0.23458716
XGBoost_Neutro_Norte;disponibilidade e confiabilidade mecânica  (csat);0.11915349
XGBoost_Neutro_Norte;geração e transmissão de dados para gestão agrícola (csat);0.07880517
XGBoost_Neutro_Norte;consumo de combustível (litros por hectares) (csat);0.07675037
XGBoost_Neutro_Norte;facilidade para realização de manutenções (csat);0.074985966
XGBoost_Neutro_Norte;facilidade de operação (csat);0.07459192
XGBoost_Neutro_Norte;adequação as diversas operações e implementos (csat);0.07165095
XGBoost_Neutro_Norte;capacidade operacional (hectares por hora) (csat);0.07141784
XGBoost_Neutro_Norte;geração e transmissão de dados para gestão da frota (csat);0.06982385
XGBoost_Neutro_Norte;conforto e ergonomia (csat);0.06657066
XGBoost_Promotor_Norte;facilidade de operação (csat);0.3213445
XGBoost_Promotor_Norte;adaptabilidade as mais diversas condições de trabalho (csat);0.12767993
XGBoost_Promotor_Norte;capacidade operacional (hectares por hora) (csat);0.11214244
XGBoost_Promotor_Norte;facilidade para realização de manutenções (csat);0.06975226
XGBoost_Promotor_Norte;disponibilidade e confiabilidade mecânica  (csat);0.06624043
XGBoost_Promotor_Norte;adequação as diversas operações e implementos (csat);0.06503764
XGBoost_Promotor_Norte;geração e transmissão de dados para gestão da frota (csat);0.05865255
XGBoost_Promotor_Norte;custo de manutenção (csat);0.056150552
XGBoost_Promotor_Norte;conforto e ergonomia (csat);0.047708903
XGBoost_Promotor_Norte;geração e transmissão de dados para gestão agrícola (csat);0.03837778
XGBoost_Detrator_BRASIL;facilidade de operação (csat);0.3216596
XGBoost_Detrator_BRASIL;disponibilidade e confiabilidade mecânica  (csat);0.25381228
XGBoost_Detrator_BRASIL;facilidade para realização de manutenções (csat);0.10736716
XGBoost_Detrator_BRASIL;capacidade operacional (hectares por hora) (csat);0.06934617
XGBoost_Detrator_BRASIL;adequação as diversas operações e implementos (csat);0.0510019
XGBoost_Detrator_BRASIL;adaptabilidade as mais diversas condições de trabalho (csat);0.0410066
XGBoost_Detrator_BRASIL;custo de manutenção (csat);0.037786517
XGBoost_Detrator_BRASIL;conforto e ergonomia (csat);0.035909023
XGBoost_Detrator_BRASIL;geração e transmissão de dados para gestão agrícola (csat);0.03152483
XGBoost_Detrator_BRASIL;geração e transmissão de dados para gestão da frota (csat);0.027340159
XGBoost_Neutro_BRASIL;capacidade operacional (hectares por hora) (csat);0.23879632
XGBoost_Neutro_BRASIL;disponibilidade e confiabilidade mecânica  (csat);0.1738463
XGBoost_Neutro_BRASIL;facilidade para realização de manutenções (csat);0.131238
XGBoost_Neutro_BRASIL;facilidade de operação (csat);0.122806095
XGBoost_Neutro_BRASIL;adaptabilidade as mais diversas condições de trabalho (csat);0.06336264
XGBoost_Neutro_BRASIL;adequação as diversas operações e implementos (csat);0.05833857
XGBoost_Neutro_BRASIL;conforto e ergonomia (csat);0.04439714
XGBoost_Neutro_BRASIL;custo de manutenção (csat);0.043803733
XGBoost_Neutro_BRASIL;geração e transmissão de dados para gestão da frota (csat);0.043044344
XGBoost_Neutro_BRASIL;consumo de combustível (litros por hectares) (csat);0.040999677
XGBoost_Promotor_BRASIL;facilidade de operação (csat);0.42746475
XGBoost_Promotor_BRASIL;facilidade para realização de manutenções (csat);0.13268878
XGBoost_Promotor_BRASIL;disponibilidade e confiabilidade mecânica  (csat);0.11287644
XGBoost_Promotor_BRASIL;capacidade operacional (hectares por hora) (csat);0.10995183
XGBoost_Promotor_BRASIL;adequação as diversas operações e implementos (csat);0.048270497
XGBoost_Promotor_BRASIL;adaptabilidade as mais diversas condições de trabalho (csat);0.034645457
XGBoost_Promotor_BRASIL;geração e transmissão de dados para gestão da frota (csat);0.031681363
XGBoost_Promotor_BRASIL;conforto e ergonomia (csat);0.028953936
XGBoost_Promotor_BRASIL;custo de manutenção (csat);0.026125068
XGBoost_Promotor_BRASIL;geração e transmissão de dados para gestão agrícola (csat);0.026028875
