IUV;RUA JOÃO PUPO -  AO LADO DO 229;PR;M.PR.IUV;Imbituva Centro;;;
PBG;Imbituva - Faxinal dos Ávilas - BR373 -  PRÓXIMO AO KM 221;PR;M.PR.PBG;IMBITUVA FAXINAL;;;
I0A;RUA PADRE. TOMAZ KANIA -  63 - CENTRO;PR;M.PR.I0A;IMBITUVA - TOMAZ KANIA;;;
INM;RUA GENEROSO MARQUES - INÁCIO MARTINS;PR;M.PR.INM;Inácio Martins;;;
ZIM;ESTRADA DE INÁCIO MARTINS À GUARAPUAVA -  SÍTIO DA TORRE - ZONA RURAL;PR;M.PR.ZIM;Inácio Martins Rep;;;
IYE;Rua Estação s/n - IPIRANGA;PR;M.PR.IYE;EMBRATEL IPIRANGA;;;
ZIY;Rodovia PR 487 Nº S/N - km 467 (Chácara São Geraldo) - IPIRANGA;PR;M.PR.ZIY;IPIRANGA REP TX;;;
IPA;RUA ELIAS CALIXTO -  S/N;PR;M.PR.IPA;IPIRANGA - CENTRO;;;
I0B;RUA JOÃO DENCK -  198 - CENTRO;PR;M.PR.I0B;IPIRANGA - JOÃO L. DENCK;;;
RR2;EST ENGENHEIRO GUTIERREZ - N° S/N - IRATI;PR;M.PR.RR2;IRATI - ENGENHEIRO GUTIERREZ 2;;;
RSE;RUA NOÉ REBESCO -  AO LADO DO 557 LOTE 9 QUADRA 18;PR;M.PR.RSE;Irati Siemens;;;
IRI;RUA CORONEL GRÁCIA -  AO LADO DO 705;PR;M.PR.IRI;Irati Centro;;;
ZIR;Rodovia BR 277 - Km 243 - 5 Serra dos Nogueiras;PR;M.PR.ZIR;Irati Rep;;;
IRB;RUA JOSÉ CHAMY -  S/N;PR;M.PR.IRB;IRATI - RIO BONITO;;;
IRV;RUA JOAQUIM DE PAULA NEVES -  S/N;PR;M.PR.IRV;IRATI - TREVO;;;
I0C;ESTRADA SERRA DO NOGUEIRA -  S/N - SERRA DOS NOGUEIRA;PR;M.PR.I0C;IRATI - SERRA DO NOGUEIRA;;;
IVY;RUA MIRON LEPKA -  S/N;PR;M.PR.IVY;Ivaí;;;
ZIV;LINHA DR BELTRÃO -  S/N;PR;M.PR.ZIV;IVAÍ REP TX;;;
LAJ;AVENIDA PARANÁ -  569 - LARANJAL;PR;M.PR.LAJ;LARANJAL - CIDADE;;;
LJS;Rua Expedicionário João Maria - LARANJEIRAS DO SUL;PR;M.PR.LJS;Laranjeiras do Sul;;;
LOI;R XV NOVEMBRO - 1125;PR;M.PR.LOI;LARANJEIRAS DO SUL OI;;;
ZSL;Estrada Linha da torre Telepar - Nº S/N (ESTACA) - LARANJEIRAS DO SUL;PR;M.PR.ZSL;LARANJEIRAS DO SUL REP TX;;;
MLL;RUA LINHA OESTE 3 -  S/N;PR;M.PR.MLL;Mallet;;;
M0A;RUA MAJOR ESTEVÃO -  160 - MALLET;PR;M.PR.M0A;MALLET - CENTRO;;;
ZMQ;Rua Napoleão Padilha - Nº 1171 - MARQUINHO;PR;M.PR.ZMQ;MARQUINHO REP TX;;;
MRQ;RUA XV DE NOVEMBRO -  S/N - CENTRO;PR;M.PR.MRQ;MARQUINHO - CIDADE;;;
MRZ;LINHA COOPERATIVA COAMIG -  S/N - MARQUINHO;PR;M.PR.MRZ;MARQUINHO - ZONA RURAL;;;
NLJ;RUA ALDINO PASSARIN - NOVA LARANJEIRAS;PR;M.PR.NLJ;Nova Laranjeiras;;;
OKB;RODOVIA PR 160 - Nº S/N - ORTIGUEIRA;PR;M.PR.OKB;ORTIGUEIRA KLABIN;;;
OBR;RODOV. BR 376 - Nº S/N - ORTIGUEIRA;PR;M.PR.OBR;ORTIGUEIRA RODOVIA;;;
ORF;RODOV. DO CAFÉ BR 376 -  BAIRRO DOS FRANÇA - Nº S/N;PR;M.PR.ORF;ORTIGUEIRA BR376 BAIRRO DOS FRANÇA;;;
ORG;AVENIDA LAURINDO BARBOSA DE MACEDO - 1354;PR;M.PR.ORG;Ortigueira;;;
ORZ;RODOV. BR 376 -  KM 369;PR;M.PR.ORZ;IMBAÚ - ORTIGUEIRA;;;
ORE;Rua Soeli Cordeiro - 26;PR;M.PR.ORE;EMBRATEL ORTIGUEIRA BAIRRO DOS FRANÇA;;;
EFB;RODOVIA BR 376 -  KM 542;PR;M.PR.EFB;Ponta Grossa Faz. Butuquara;;;
GWI;Estrada Principal -  Km 6 - Palmeira ;PR;M.PR.GWI;Colônia Witmarsun;;;
PEI;RUA CORONEL ALÍPIO DO NASCIMENTO - 467;PR;M.PR.PEI;Palmeira;;;
PMO;POSTO MENEGATTI (ROTPAR) - BR277 -  PRÓXIMO AO KM 548 (ACESSO A COLONIA WITMARSUM);PR;M.PR.PMO;MENEGATTI REP;;;
M0G;RUA VICENTE MACHADO -  295 - CENTRO;PR;M.PR.M0G;PALMEIRA - SETE DE ABRIL;;;
M0H;RODOVIA BR-376 -  KM 544;PR;M.PR.M0H;PALMEIRA - COLÔNIA WITMARSUM 2;NÃO;;
PML;RUA PRINCESA ISABEL X RUA XV DE NOVEMBRO - PALMITAL;PR;M.PR.PML;Palmital;;;
PFC;Rua Des. Costa Carvalho - 365;PR;M.PR.PFC;PAULA FREITAS CIDADE;;;
PFR;Rodovia BR 153 -  s/nº ;PR;M.PR.PFR;PAULA FREITAS RODOVIA;;;
ZUV;Est. Vicinal Paulo Frontin - União da Vitória - Nº S/N - PAULA FREITAS;PR;M.PR.ZUV;UNIÃO DA VITÓRIA REP TX;;;
PF2;Rua Antonio Zaionc -  s/nº;PR;M.PR.PF2;PAULO FRONTIN 2;;;
PLF;Rua Alexandre Popia -  s/nº;PR;M.PR.PLF;PAULO FRONTIN CIDADE;;;
PHO;LOTEAMENTO JARDIM NOVA LUCINDA -  LOTE 11 QUADRA 15;PR;M.PR.PHO;Pinhão;;;
P0I;RUA XV DE DEZEMBRO -  214 - PINHÃO;PR;M.PR.P0I;PINHÃO - CENTRO;;;
ZPI;Fazenda Sta Rita - PR090 - Km 156 - 5;PR;M.PR.ZPI;Pirai do Sul Rep;;;
PIS;AVENIDA PONTA GROSSA -  543 FUNDOS;PR;M.PR.PIS;Piraí do Sul;;;
PIG;RUA FREDERICO REPULA -  S/N;PR;M.PR.PIG;Pitanga;;;
GCO;Rua Sebastião Nascimentos - Nº S/N - PONTA GROSSA;PR;M.PR.GCO;PONTA GROSSA - CONTORNO ;;;
GCH;BR 376 - AVENIDA SOUZA NAVES - Nº S/N - PONTA GROSSA;PR;M.PR.GCH;PONTA GROSSA - CHAPADA ;;;
G04;RUA EUSÉBIO BATISTA RIBAS - 400;PR;M.PR.G04;Ponta Grossa Jd Carvalho;;;
GAT;RODOVIA BR 376 -  KM 525;PR;M.PR.GAT;Ponta Grossa Alto Tibagi;;;
GC1;RUA SANTANA - 695;PR;M.PR.GC1;Ponta Grossa Centro 1;;;
GVV;RODOVIA BR 376 -  KM 516;PR;M.PR.GVV;Ponta Grossa Vila Velha;;;
G02;RUA SIQUEIRA CAMPOS -  S/N;PR;M.PR.G02;PONTA GROSSA 02 - Uvaranas;;;
G03;RUA GENEROSO MARTINS DE ARAÚJO -  S/N;PR;M.PR.G03;PONTA GROSSA Nova Russia;X;;
GCB;Rod BR 376 sentido CTA-->PGO km 506 - PONTA GROSSA;PR;M.PR.GCB;PONTA GROSSA - Cooperativa Batavo;;;
GGT;RODOV. BR 376 -  KM 466 - Nº S/N;PR;M.PR.GGT;RODOVIA PONTA GROSSA TIBAGI;;;
GID;RODOVIA BR 376 -  KM 500;PR;M.PR.GID;PONTA GROSSA Industrial;;;
GNE;RUA ANTONIO SAD -  LOTE 4 QUADRA 10;PR;M.PR.GNE;PONTA GROSSA Nordeste;;;
GNO;Rua Coronel Alcebíades de Miranda -  QD 65 - Lote 13 - Nº S/N;PR;M.PR.GNO;Ponta Grossa Norte;;;
GST;R ORQUÍDIA - Nº 9 - PONTA GROSSA;PR;M.PR.GST;Ponta Grossa - Sta.Terezinha (München);;;
GSU;RUA SPIX -  LOTE 150;PR;M.PR.GSU;PONTA GROSSA SUL;;;
GUV;Rua Carlos de Carvalho -  s/nº - lote 6 - quadra 25;PR;M.PR.GUV;Ponta Grossa Uvaranas;;;
GVR;Av Gen Carlos Cavalcante esq Rua Rogério Kroster - PONTA GROSSA;PR;M.PR.GVR;Ponta Grossa Vila Rubini;;;
PNV;Rua João Cecy Filho -  S/N (LD do 2510 - Lote 9;PR;M.PR.PNV;Ponta Grossa Neves;NÃO;;
GC2;RUA THEODORO ROSAS - 1044;PR;M.PR.GC2;PONTA GROSSA CENTRO 2;;;
GSM;Rua Saldanha Marinho -  Nº150;PR;M.PR.GSM;PONTA GROSSA SALDANHA MARINHO PPI BRT;;;
ZPC;Repetidora da Copel - PONTA GROSSA;PR;M.PR.ZPC;Ponta Grossa Coroa REP;;;
GES;RUA DR JOAQUIM PAULO XAVIER -  S/N;PR;M.PR.GES;PONTA GROSSA - ESTRELA;;;
GSP;RUA ERMELINO DE LEÃO - 703;PR;M.PR.GSP;PONTA GROSSA - SHOPPING PALLADIUM;;;
GO2;Av. Visconde de Mauá -  nº 1717;PR;M.PR.GO2;PONTA GROSSA - OFICINAS 2;;;
PAN;Av. Ana Rita -  ao lado do 778;PR;M.PR.PAN;PONTA GROSSA - ANA RITA;;;
GBO;RUA BANDEIRANTES - 566;PR;M.PR.GBO;PONTA GROSSA - BOA VISTA;;;
GO1;RUA JOSE DO PATROCINIO - 161;PR;M.PR.GO1;PONTA GROSSA - OFICINAS 1;;;
GCC;RUA ARNALDO JOSÉ DE MORAES -  S/N;PR;M.PR.GCC;PONTA GROSSA - CARA CARA;;;
P2V;RUA VALTER GLAS -  S/N -  QUADRA 16;PR;M.PR.P2V;PONTA GROSSA - NEVES 2;NÃO;;
GU2;RUA GEN. CARLOS CAVALCANTI 4180 - PONTA GROSSA;PR;M.PR.GU2;PONTA GROSSA - UVARANAS 2;;;
P0R;AVENIDA DOUTOR VICENTE MACHADO -  585 - CENTRO;PR;M.PR.P0R;PONTA GROSSA - DOUTOR VICENTE;;;
P0L;RUA OCTAVIO DE CARVALHO - 1789;PR;M.PR.P0L;PONTA GROSSA - OCTAVIO DE CARVALHO;;;
P0M;RUA QUERÊNCIA DO NORTE -  315 - OLARIAS;PR;M.PR.P0M;PONTA GROSSA - QUERÊNCIA DO NORTE;;;
P0P;RUA THAUMATURGO DE AZEVEDO -  63 - OFICINAS;PR;M.PR.P0P;PONTA GROSSA - THAUMATURGO DE AZEVEDO;;;
P0S;AVENIDA LIONS CLUB DE PONTA GROSSA -  634 - CHAPADA;PR;M.PR.P0S;PONTA GROSSA - LIONS CLUB;;;
P0K;AVENIDA ANA RITA -  155 - UVARANAS;PR;M.PR.P0K;PONTA GROSSA - ANA RITA;;;
P0O;AVENIDA JOÁO GUALBERTO -  333B;PR;M.PR.P0O;PONTA GROSSA - JOÃO GUALBERTO;;;
GH2;AVENIDA SOUZA NAVES 4031 CENTRO - UVAIA - PONTA GROSSA;PR;M.PR.GH2;PONTA GROSSA - CHAPADA 2;;;
GRD;RUA BARÃO DO BOJURU X RUA BALTAZAR LISBO - PONTA GROSSA - PONTA GROSSA;PR;M.PR.GRD;PONTA GROSSA - RONDA;;;
P0T;RUA DOUTOR PENTEADO DE ALMEIDA -  260 - CENTRO;PR;M.PR.P0T;PONTA GROSSA - DOUTOR PENTEADO DE ALMEIDA;;;
P0N;RUA FRANCISCO OTAVIANO -  S/N - NOVA RÚSSIA;PR;M.PR.P0N;PONTA GROSSA - FRANCISCO OTAVIANO;;;
P0Q;RUA EDGAR SPONHOLZ -  393 - CONTORNO;PR;M.PR.P0Q;PONTA GROSSA - DOUTOR EDGAR;;;
GV2;RUA PEDRO MEZZOMO - PONTA GROSSA - PONTA GROSSA;PR;M.PR.GV2;PONTA GROSSA - BOA VISTA 2;;;
GEO;RUA JUMBO -  S/N - CARA-CARA;PR;M.PR.GEO;PONTA GROSSA - AEROCLUBE PONTA GROSSA;;;
PZS;MORRO DO CRISTO -  S/N;PR;M.PR.PZS;Porto Amazonas;;;
PJB;RUA HELMUTH MULLER - 1260;PR;M.PR.PJB;PORTO UNIÃO - JARDIM BRASÍLIA;;;
PVA;RUA FREI POLICARPO -  113 - ZONA RURAL;PR;M.PR.PVA;PORTO VITÓRIA - CIDADE;;;
PVL;LOTE LINHA ESPINGARDA -  SEM NUMERO.;PR;M.PR.PVL;PORTO VITÓRIA - LINHA ESPINGARDA;;;
PDT;RUA MARECAL DEODORO -  LOTE 7;PR;M.PR.PDT;Prudentópolis;;;
RIA;RELOGIO (BR 277 KM 299) - RODOVIA BR 277 - KM 299 (PRÉDIO ROTPAR) - PRUDENTÓPOLIS;PR;M.PR.RIA;RIO DA AREIA OI;;;
PVM;RUA DOS IPÊS -  S/N;PR;M.PR.PVM;PRUDENTÓPOLIS - LOT. VILA MUNICIPAL;;;
P0X;AVENIDA SÃO JOÃO -  1989 - CENTRO;PR;M.PR.P0X;PRUDENTÓPOLIS - SAO JOAO;;;
REB;RUA ABDALA MIGUEL SARRAFO -  NO. 1050;PR;M.PR.REB;Rebouças;;;
RRV;RUA MARCÍLIO DIAS - 620;PR;M.PR.RRV;Reserva;;;
RZL;RUA ANTÔNIO CAÇÃO X RUA GUILHERME PEREIRA - RIO AZUL;PR;M.PR.RZL;Rio Azul;;;
ZRA;Rodovia José Dusanosk - Estrada Rio Vinagre - Nº S/N - RIO AZUL;PR;M.PR.ZRA;RIO AZUL REP TX;;;
RBN;R PARTICULAR - ASSENTINHO - Nº S/N - RIO BONITO DO IGUAÇU;PR;M.PR.RBN;Rio Bonito do Iguaçu;;;
R0A;AVENIDA DOM PEDRO II -  563 - RIO BONITO DO IGUAÇU;PR;M.PR.R0A;RIO BONITO DO IGUAÇU - CENTRO;;;
SFF;RUA ALEXANDRE KORDIAKI (AO LADO DA IGREJA) - SANTA MARIA DO OESTE;PR;M.PR.SFF;Sta. Maria do Oeste;;;
SIF;R BENJAMIN CONSTANT - Nº 62 - SÃO JOÃO DO TRIUNFO;PR;M.PR.SIF;São João do Triunfo;;;
SSL;RUA LUIS DAMASCO DOS SANTOS LIMA -  AO LADO 477;PR;M.PR.SSL;São Mateus do Sul;;;
S0F;RODOVIA BR- 476 -  1188 - CENTRO;PR;M.PR.S0F;SÃO MATEUS DO SUL - ULISSES FARIA;;;
S0G;RUA DOIS -  S/N - CENTRO;PR;M.PR.S0G;SÃO MATEUS DO SUL - DOIS;;;
TXR;RUA VEDOLINO NEVES - TEIXEIRA SOARES;PR;M.PR.TXR;Teixeira Soares;;;
EAP;Rua Rio Iguaçu -  lote 8;PR;M.PR.EAP;Telêmaco Borba Aeroporto;;;
EHA;VILA DE HARMONIA - TELÊMACO BORBA;PR;M.PR.EHA;Telêmaco Borba Harmonia;;;
EID;RODOVIA DO PAPEL -  KM 15;PR;M.PR.EID;Telêmaco Borba Industrial;;;
KLG;RODOVIA PR160 - N° S/N - TELÊMACO BORBA;PR;M.PR.KLG;TELÊMACO BORBA LAGOA;;;
TEB;RUA PROFESSOR EDITH GORDAN - 571;PR;M.PR.TEB;Telêmaco Borba Centro;;;
EKI;FAZENDA MONTE ALEGRE -  S/N;PR;M.PR.EKI;TELÊMACO BORBA - KLABIN MONTE ALEGRE INDOOR;;;
EFL;RUA HELIO DE MOURA JORGE -  S/N;PR;M.PR.EFL;TELÊMACO BORBA - FAZENDA LIMEIRA;;;
T0A;RUA ÂNGELO DALCOL JÚNIOR -  270 - CENTRO;PR;M.PR.T0A;TELÊMACO BORBA - ANGELO DALCOL JUNIOR;;;
T0B;RUA CAMPINA ALTA -  44 - PARQUE LIMEIRA AREA II;PR;M.PR.T0B;TELÊMACO BORBA - MAUA;;;
EFA;TV ROMA Nº 85 -  TELÊMACO BORBA;PR;M.PR.EFA;TELÊMACO BORBA - FÁTIMA;;;
TB1;RODOV. BR 376 S/N - TIBAGI;PR;M.PR.TB1;TIBAGI BR 376 TIBAGI 1;;;
TB2;RODOV. BR 376 -  KM 436 - Nº S/N;PR;M.PR.TB2;TIBAGI BR 376 TIBAGI 2;;;
TBG;RUA MACHADINHO - 171;PR;M.PR.TBG;Tibagi;;;
TCM;AV JOAO TALEVI - Nº 320 - TIBAGI;PR;M.PR.TCM;TIBAGI BR 376 CAETANO MENDES;;;
ZTB;Estrada Tibagi para antena Telepar - Nº S/N - TIBAGI;PR;M.PR.ZTB;TIBAGI REP TX;;;
TR2;RUA BENTO MUNHOZ DA ROCHA NETO 310 - TIBAGI;PR;M.PR.TR2;TIBAGI - BR 376;;;
TUO;R MOACIR SILVESTRE ESQUINA COM A R 7 - Nº S/N - TURVO;PR;M.PR.TUO;Turvo;;;
ZTU;Rua Povoado Joaquim Costa - Nº S/N (Sítio Rincão do Sossego) - TURVO;PR;M.PR.ZTU;TURVO REP TX;;;
VNS;RUA NOSSA SENHORA DA SALETE -  S/N;PR;M.PR.VNS;União da Vitória Nossa Sra. Salete;;;
UVA;RUA BENJAMIN CONSTANT -  AO LADO DO 715;PR;M.PR.UVA;União da Vitória Beijamin Constant;;;
VMD;RUA MARECHAL DEODORO -  EM FRENTE AO 717;PR;M.PR.VMD;União da Vitória Mal. Deodoro;;;
UCR;RUA OTILIA SUZANA SCHIEL -  S/N - MORRO DO CRISTO;PR;M.PR.UCR;UNIÃO DA VITÓRIA - CRISTO REI;;;
U0B;RUA MARECHAL CANDIDO MARIANO DA SILVA RONDON -  S/N - SÃO BRAZ;PR;M.PR.U0B;UNIÃO DA VITÓRIA - MARECHAL CÂNDIDO RONDOM;;;
U0A;RUA PRUDENTE DE MORAIS -  25 - CENTRO;PR;M.PR.U0A;UNIÃO DA VITÓRIA - PRUDENTE DE MORAIS;;;
VRN;R JOÃO BATISTA VIEIRA -  ESQ. COM R JOÃO KOKUGINSKI - Nº S/N;PR;M.PR.VRN;VIRMOND CIDADE;;;
ALV;FRANCISCO PALMA CANO - 254;PR;M.PR.ALV;Alvorada do Sul;;;
AND;RUA MINAS GERAIS -  AO LADO DO 276;PR;M.PR.AND;Andirá;;;
ASP;RUA ANTONIO CARLOS RIBEIRO -  DATA 08 QUADRA 03;PR;M.PR.ASP;Apucarana São Pedro;;;
AAC;LOTE A561A2 - BR 376 - KM 347 - APUCARANA;PR;M.PR.AAC;Apucarana Adriano Correa;;;
AIO;Cruzamento da BR369 com BR 376 -  ao lado da igreja São Miguel;PR;M.PR.AIO;Apucarana Industrial Oeste;;;
AP1;RUA PROFESSOR JOÃO CANDIDO FERREIRA -  QUADRA 28 DATA 16 A;PR;M.PR.AP1;Apucarana 01 - Cidade;;;
AP3;RUA JOÃO ANTONIO PARRA SANCHES -  S/N;PR;M.PR.AP3;Apucarana 03 - Jardim Espanha;;;
ZAP;Estrada Vieira -  s/n (BR 376);PR;M.PR.ZAP;Apucarana Rep;;;
AP2;RUA RIO GRANDE DO SUL - 5;PR;M.PR.AP2;Apucarana - Jardim Apucarana;;;
ASH;Rua Nova Ucrânia - N S/N - APUCARANA;PR;M.PR.ASH;APUCARANA - SANTA HELENA;;;
AIN;AVENIDA ZILDA SEIXAS DO AMARAL - 3565;PR;M.PR.AIN;APUCARANA - INDUSTRIAL NORTE;NÃO;;
ANO;AVENIDA AVIAÇÃO -  LOTE 9;PR;M.PR.ANO;APUCARANA - MUNDO NOVO;NÃO;;
AEX;RUA SUKESAKU YAMAMURA 218 PARQUE DE EXPOSIÇÕES - APUCARANA - APUCARANA;PR;M.PR.AEX;APUCARANA - PARQUE DE EXPOSIÇÕES;;;
AJM;RUA LIBERATO DE SOUZA SARDINHA -  N° 71;PR;M.PR.AJM;APUCARANA - JARDIM TIBAGI;;;
ARO; RUA TANGARÁ - Nº 1520 - ARAPONGAS;PR;M.PR.ARO;ARAPONGAS ROMERA;;;
AS1;RUA FALCÃO -  S/N;PR;M.PR.AS1;Arapongas 01 - Centro;;;
AS2;RUA GUARATINGA - 731;PR;M.PR.AS2;Arapongas 02 - Jardim Bandeirantes;;;
AS5;RUA TURURIM  -  S/N;PR;M.PR.AS5;ARAPONGAS - JARDINS;536;NÃO;
APN;86706-328 - Parque Industrial - ARAPONGAS;PR;M.PR.APN;ARAPONGAS - PARQUE INDUSTRIAL IV;;;
AVI;RUA BONITO DO CAMPO -  202 - Jardim Baroneza;PR;M.PR.AVI;ARAPONGAS - VILA INDUSTRIAL;;;
APQ;RUA GATURAMO BANDEIRA -  N° 145 PARQUE INDUSTRIAL II;PR;M.PR.APQ;ARAPONGAS - PARQUE INDUSTRIAL II;;;
APO;RUA SEVERINO FERREIRA DOS SANTOS S/N - ARAPOTI;PR;M.PR.APO;Arapoti;;;
ASS;RUA WASHINGTON LUIS AO LADO DA CASA DA SOPA - ASSAÍ;PR;M.PR.ASS;Assaí;;;
ZAS;LOTE 346 SEÇÃO CENTRAL -  ESTRADA VELHA ASSAÍ S/N;PR;M.PR.ZAS;Assai Rep;;;
BNT;AVENIDA COMENDADOR LUIZ MENEGHEL -  LOTE 2 QUADRA 36;PR;M.PR.BNT;Bandeirantes;;;
BVP;RUA PERU -  S/N;PR;M.PR.BVP;Bela Vista do Paraíso;;;
CFN;ESTRADA DA JACUTINGA -  S/N;PR;M.PR.CFN;Califórnia;;;
CBA;RUA JOSE XAVIER DE ARAÚJO -  46 FUNDOS;PR;M.PR.CBA;Cambará;;;
CB1;AVENIDA BRASIL - 331;PR;M.PR.CB1;Cambé Avenida Brasil;;;
CB2;RUA JOAO DALLA PRIA -  S/N;PR;M.PR.CB2;Cambé 2 - Della Pria;;;
CB3;AV. GABRIEL FRECEIRO DE MIRANDA - Nº 1231 - CAMBÉ;PR;M.PR.CB3;CAMBÉ 3;;;
CB9;RUA AMERICO VENDRAMEL -  S/N;PR;M.PR.CB9;CAMBÉ - JARDIM BOA VISTA;;;
CBN;ESTRADA RURAL MANTOVANI S/N - GLEBA RIBEIRÃO CAÇADORES - CAMBÉ;PR;M.PR.CBN;CAMBÉ - NOVARTIS;;;
CMB;RUA VENEZUELA - 325;PR;M.PR.CMB;Cambira;;;
CBY;RUA CHARLES LAGUICHE - 347;PR;M.PR.CBY;Cândido de Abreu;;;
CLL;ESTRADA DA LIMEIRA -  S/N SÍTIO TRÊS IRMÃOS;PR;M.PR.CLL;Carlópolis;;;
CLC;RUA PADRE HUGO -  S/N;PR;M.PR.CLC;CARLÓPOLIS - CENTRO;;;
CUL;PROLONGAMENTO DA AVENIDA PREFEITO WANDERLEY ANTUNES DE MORAES X RUA C - CENTENÁRIO DO SUL;PR;M.PR.CUL;Centenário do Sul;;;
AAR;RODOVIA MELO PEIXOTO KM 101 - CORNÉLIO PROCÓPIO;PR;M.PR.AAR;Cornélio Procópio Águativa Resort;;;
CP1;AVENIDA NOSSA SENHORA DO RÓCIO - 1429;PR;M.PR.CP1;Cornélio Procópio Nossa Senhora do Rocio;;;
CP3;RUA PARÁ -  S/N;PR;M.PR.CP3;Cornélio Procópio Pará;;;
CP2;RUA COLOMBO - 813;PR;M.PR.CP2;Cornélio Procópio Colombo B;;;
CYV;RUA EDMUNDO ALBERTO MERCER - 15;PR;M.PR.CYV;Curiúva;;;
ZCY;Estrada Rural Antônio Michelon - 980;PR;M.PR.ZCY;CURIÚVA REP TX;;;
FXL;AVENIDA BRASIL -  QUADRA 40 DATA 5;PR;M.PR.FXL;Faxinal;;;
ZFX;SITIO SÃO LAZARO - Nº S/N ( ACESSO PELA AVENIDA BRASIL. PRÓXIMO A BR-272)   - FAXINAL;PR;M.PR.ZFX;FAXINAL REP TX;;;
FGA;RODOVIA PR-160 -  S/N;PR;M.PR.FGA;Figueira;;;
FOS;RUA PADRE CARMELO ROMANO -  S/N;PR;M.PR.FOS;Florestópolis;;;
GPM;RODOV. PR 218 -  KM 46;PR;M.PR.GPM;GUAPIRAMA CIDADE;;;
GUC;RUA JOSE VETORI - Nº 507 - GUARACI;PR;M.PR.GUC;GUARACI CIDADE;;;
IBT;RUA ANTONIO DE MOURA BUENO -  S/N;PR;M.PR.IBT;Ibaiti;;;
ZIC;Lote 1 Quadra A -  Estrada de Ibaiti Caratuva - Serra do Bionde - Faz Água Grande;PR;M.PR.ZIC;Ibaiti Rep;;;
IOR;RUA PAULO FRONTIN - 410;PR;M.PR.IOR;Ibiporã;;;
ISB;RUA ANTONIO MARTIRE Nº 110 - IBIPORÃ;PR;M.PR.ISB;IBIPORÃ - PARQUE CASTELO BRANCO;;;
IMB;ESTRADA MUNICIPAL ITAMBARACÁ/SÃO JOAQUIM DO PONTAL KM16.6 - ITAMBARACÁ;PR;M.PR.IMB;ITAMBARACÁ CIDADE;;;
IVP;AVENIDA CASTELO BRANCO X RUA YVENS GUEGUEM - IVAIPORÃ;PR;M.PR.IVP;Ivaiporã;;;
ZAL;Rua Angola - Nº S/N (Esq. Rua Sabiá) - IVAIPORÃ;PR;M.PR.ZAL;ALTO PORÃ REP TX;;;
JZO;RUA HENRIQUE SETI -  99 LOTE 14 QUADRA 5;PR;M.PR.JZO;Jacarezinho;;;
JZ2;Rua Guioxin -  em frente ao 255;PR;M.PR.JZ2;JACAREZINHO 2;;;
ZJZ;PR 431 (JACAREZINHO-CAMBARÁ) -  AO LADO DA TELEPAR (FAZENDA SÃO JOÃO);PR;M.PR.ZJZ;Jacarezinho Rep;;;
JGP;RUA DOUTOR ANDRÉ PODELESKIS -  QUADRA 3;PR;M.PR.JGP;Jaguapitã;;;
JIV;RUA JOAQUIM CARLOS GOUVEIA -  S/N;PR;M.PR.JIV;Jaguariaíva;;;
JDS;RUA ES. KENNEDY - 357;PR;M.PR.JDS;Jandaia do Sul Kennedy;;;
JLI;RUA JOSÉ MARIA DE PAULA - 2020;PR;M.PR.JLI;JANDAIA DO SUL - INDUSTRIAL;;;
JAR;R FRANCISCO INÁCIO DE OLIVEIRA - N° S/N - JAPIRA;PR;M.PR.JAR;JAPIRA CIDADE;;;
JDG;AVENIDA GETULINA - 526;PR;M.PR.JDG;Jardim Alegre;;;
JZN;AVENIDA ANTONIO BRANDÃO DE OLIVEIRA - 919;PR;M.PR.JZN;Jataizinho;;;
JQC;RUA FRANCISCO GOMES DE OLIVEIRA -  S/N;PR;M.PR.JQC;JOAQUIM TÁVORA - CENTRO;;;
LBL;AV MADRE LEÔNIA MILITO - Nº 1200 - LONDRINA;PR;M.PR.LBL;LONDRINA BELA SUIÇA;;;
LCA;RODOVIA CELSO GARCIA CID -  KM 377;PR;M.PR.LCA;Shopping Center Sul;;;
LAA;AVENIDA LUCÍLIO DE HELD -  AO LADO DO 205;PR;M.PR.LAA;Londrina Autódromo;;;
LAB;Av. Jamil Sacaff - 1600;PR;M.PR.LAB;Londrina Alexandre Urbanas;;;
LCB;RUA DEPUTADO NILSON RIBAS Nº120 - LONDRINA;PR;M.PR.LCB;Londrina Campo Belo;;;
LCO;R MAESTRO EGÍDIO CAMARGO DO AMARAL - Nº 118 - LONDRINA;PR;M.PR.LCO;LONDRINA CONCHA ACÚSTICA;;;
LDP;RUA PARÁ Nº1080 - LONDRINA;PR;M.PR.LDP;Londrina Embratel;;;
LDR;AVENIDA CELSO GARCIA CID - 479;PR;M.PR.LDR;Londrina Rodoviária;;;
LDS;RUA DALVA DE OLIVEIRA - 75;PR;M.PR.LDS;Londrina Saída p/ Ibiporã;X;;
LDX;R DEPUTADO ARDINAL RIBAS - Nº 245 - LONDRINA;PR;M.PR.LDX;LONDRINA PARQUE DE EXPOSIÇÕES;;;
LEU;Rua Pedro Antônio de Souza - 88;PR;M.PR.LEU;LONDRINA - EUCALIPTOS;NÃO;;
LGA;RUA GIRASSOL. Nº455 - LONDRINA;PR;M.PR.LGA;LONDRINA GIRASSOL;;;
LGT;AVENIDA SYLVIO BARROS - 23;PR;M.PR.LGT;Londrina Milton Galveti;;;
