KJL;Rua José Loureiro - Nº S/N - CURITIBA;PR;M.PR.KJL;CURITIBA JOSÉ LOUREIRO;;;
KOS;PRAÇA OSÓRIO - 379;PR;M.PR.KOS;CURITIBA Praça Osório;;;
KPB;AV BATEL - Nº 1868 - CURITIBA;PR;M.PR.KPB;Curitiba Shopping Pátio batel;;;
KPV;RUA DESEMBARGADOR MOTTA - 3263;PR;M.PR.KPV;Curitiba Praça 29 de Março;;;
KSJ;AV. Silva Jardim - nº 2258 - CURITIBA;PR;M.PR.KSJ;CURITIBA - SMALL CELL SILVA JARDIM;;;
KTG;RUA EDMUNDO ALBERTO MERCER -  AO LADO N.O 958;PR;M.PR.KTG;Curitiba Ciritiba Bairro Tingui;;;
KTN;RUA  ARI JOSÉ VALLE Nº 1.450 - CURITIBA;PR;M.PR.KTN;Curitiba Parque Tingui;;;
KVA;RUA URUGUAI - 118;PR;M.PR.KVA;Curitiba Vila América;X;;
GVT;RUA DÁRIO LOPES DOS SANTOS - Nº 2197 - CURITIBA;PR;M.PR.GVT;CURITIBA GVT JARDIM BOTÂNICO;X;;
K06;RUA SIMON BOLIVAR - CURITIBA;PR;M.PR.K06;Curitiba Curitba - Alto da Glória;;;
K08;RUA PADRE AGOSTINHO - 3500;PR;M.PR.K08;Curitiba Bigorrilho;;;
K12;RUA PAZ - 579;PR;M.PR.K12;Curitiba Rodoferroviária;;;
K13;RUA ALFERES POLI - 599;PR;M.PR.K13;Curitiba Rebouças;;;
K16;RUA CEARÁ - 182;PR;M.PR.K16;Curitiba Prado Velho;;;
KA2;R RAPOSO TAVARES -  N° 1258;PR;M.PR.KA2;Curitiba Vista Alegre 2;;;
KAG;Av. Republica Argentina - Nº 965 - CURITIBA;PR;M.PR.KAG;Curitiba Angeloni;;;
KAR;AV. PRESIDENTE GETÚLIO VARGAS - Nº 1895 - CURITIBA;PR;M.PR.KAR;Curitiba ESTÁDIO ARENA DA BAIXADA (JOAQUIM AMÉRICO);;;
KB2;RUA MARECHAL TROMPOWSKI - 181;PR;M.PR.KB2;Curitiba Bacacheri 2;;;
KBA;RUA GUAPORÉ - 923;PR;M.PR.KBA;Curitiba Bairro Alto;X;;
KBB;AV. VISCONDE DE GUARAPUAVA - 3444;PR;M.PR.KBB;Curitiba Corpo de Bombeiros;;;
KBV;RUA DAVID GERONASSO - 1061;PR;M.PR.KBV;Curitiba Boa Vista 1;X;;
KC2;R MARIA DA LUZ CORDEIRO XAVIER - N° 11 - CURITIBA;PR;M.PR.KC2;Curitiba Cascatinha 2;;;
KCB;RUA SANTA RITA - 165;PR;M.PR.KCB;Curitiba Cabral;;;
KCH;AVENIDA ANITA GARIBALDI - 8658;PR;M.PR.KCH;Curitiba Cachoeira;X;;
KCT;RUA PROFESSOR FRANCISCO BASSETI JR -  S/N;PR;M.PR.KCT;Curitiba Candido Hartmann;;;
KDM;RUA CRUZ MACHADO - 115;PR;M.PR.KDM;CURITIBA SANTOS DUMONT;;;
KEP;RUA EMILIANO PERNETA - 777;PR;M.PR.KEP;Curitiba Emiliano Perneta;;;
KF3;Rua Antônio Escorsin - 701;PR;M.PR.KF3;Curitiba Santa Felicidade 3;;;
KHR;DESEMBARGADOR WESTPHALEN - 400;PR;M.PR.KHR;Curitiba Hauer II;;;
KJB;RUA DOUTOR CORREA COELHO - 766;PR;M.PR.KJB;Curitiba Jardim Botânico;;;
KJO;AV. SETE SETEMBRO 5407 - CURITIBA;PR;M.PR.KJO;CURITIBA REPCEL PRAÇA DO JAPÃO;;;
KJS;RUA BANDEIRANTES DIAS CORTES -  AO LADO DO 342;PR;M.PR.KJS;Curitiba Jardim Social;;;
KMU;AVENIDA CÂNDIDO DE ABREU - 127;PR;M.PR.KMU;Curitiba Shopping Müeller;;;
KNB;RUA BISPO DOM JOSÉ - 2051;PR;M.PR.KNB;CURITIBA BISPO DOM JOSÉ;;;
KOA;RUA SÃO SALVADOR - Nº 109 - CURITIBA;PR;M.PR.KOA;Curitiba ÓPERA DE ARAME;;;
KOR;R FRANCISCO KLEICHEVICZ - Nº S/N - CURITIBA;PR;M.PR.KOR;Curitiba Orleans;;;
KOV;R MANOEL DE SOUZA DIAS NEGRÃO - N° 1825 - CURITIBA;PR;M.PR.KOV;Curitiba Boa Vista 3;;;
KP3;AVENIDA NILO PEÇANHA X ORESTES BELTRAMI - CURITIBA;PR;M.PR.KP3;Curitiba Pilarzinho 3;;;
KPC;AVENIDA PRESIDENTE CARLOS CAVALCANTE - 1125;PR;M.PR.KPC;Curitiba Carlos Cavalcanti;;;
KPZ;RUA GUY DE MAUPASSANT X RUA SATURNINO ARRUDA DOS SANTOS - CURITIBA;PR;M.PR.KPZ;Curitiba Pilarzinho;;;
KRB;RUA IMACULADA CONCEIÇÃO - 390;PR;M.PR.KRB;Curitiba Vila Pinto;;;
KRC;RUA SAMUEL CEZAR -  AO LADO DO N.O 1010;PR;M.PR.KRC;Curitiba Rua Castro;;;
KSB;RUA ANTÔNIO ESCORSIN - 2102;PR;M.PR.KSB;Curitiba São Braz;;;
KSE;AVENIDA SETE DE SETEMBRO - 2775;PR;M.PR.KSE;Curitiba Shopping Estação;;;
KSL;RUA EUGÊNIO GARIZA -  AO LADO DO 148;PR;M.PR.KSL;Curitiba São Lourenço;X;;
KSM;RUA JERÔNIMO DURSKI - 357;PR;M.PR.KSM;Curitiba Seminário;;;
KTB;ESTRADA DA GRACIOSA - Nº 587 - CURITIBA;PR;M.PR.KTB;CURITIBA - TREVO ATUBA;;;
KTM;RUA CORONEL DOMINGOS SOARES X RUA MARCO PÓLO - CURITIBA;PR;M.PR.KTM;Curitiba Tarumã;;;
KUD;R NILO CAIRO - Nº 524 - CURITIBA;PR;M.PR.KUD;Curitiba Ubaldino;;;
KV3;RUA PROFESSOR GUIDO STRAUBE - 780;PR;M.PR.KV3;Curitiba Vila Izabel 3;;;
KVG;RUA SANTA CATARINA -  S/N;PR;M.PR.KVG;Curitiba Vila Guaíra;;;
KVM;Av. Monteiro Tourinho - 141;PR;M.PR.KVM;Curitiba Vila Militar;;;
KX2;TRAVESSA KALIL KARAN - 122;PR;M.PR.KX2;Curitiba - Alto da XV 2;X;;
K05;RUA PROFESSORA ROSA SAPORSKI - 600;PR;M.PR.K05;Curitiba Mercês;;;
KCC;AV REPÚBLICA ARGENTINA - Nº 665 - CURITIBA;PR;M.PR.KCC;CURITIBA CLUBE CURITIBANO;;;
KCD;Rua Riachuelo -  30 - Edif. Hotel Paraty;PR;M.PR.KCD;Curitiba Calçadão;;;
KCU;BRIGADEIRO FRANCO - 2300;PR;M.PR.KCU;Shopping Curitiba;;;
KTL;RUA DA LAPA - 231;PR;M.PR.KTL;Curitiba Travessa da Lapa;;;
KVI;AVENIDA REPÚBLICA ARGENTINA - 2056;PR;M.PR.KVI;Curitiba Vila Izabel;;;
KVP;RUA VOLUNTÁRIOS DA PÁTRIA - 233;PR;M.PR.KVP;Curitiba Vol. da Pátria;;;
K03;RUA GUSTAVO RATTMAN - 835;PR;M.PR.K03;Curitiba Bacacheri;;;
K04;RUA HERACLIDES CEZAR DE ARAÚJO -  S/N;PR;M.PR.K04;Curitiba Centro Civico;;;
K28;RUA JOÃO TSCHANNERL - 1001;PR;M.PR.K28;Curitiba Vista Alegre;;;
KBG;RUA FRANCISCO ROCHA - 1430;PR;M.PR.KBG;Curitiba Bigorrilho 2;X;;
KBL;AVENIDA VISCONDE DE GUARAPUAVA - 4468;PR;M.PR.KBL;Curitiba Batel Bingo;X;;
KBR;RUA ROBERTO BARROZO -  AO LADO DO 1194;PR;M.PR.KBR;Curitiba Bom Retiro;;;
KCY;RUA COMENDADOR ARAÚJO - 371;PR;M.PR.KCY;Curitiba Shopping Crystal;;;
KGD;Av 7 de setembro - 4698 - 18º andar ;PR;M.PR.KGD;Curitiba GEODEX;;;
KI2;RUA CARNEIRO LOBO -  S/N;PR;M.PR.KI2;Curitiba Vila izabel 2;;;
KJC;RUA PROFESSOR LYCIO GREIN DE CASTRO VELLOZO - 191;PR;M.PR.KJC;Curitiba Mercês Brasil Telecom;;;
KJE;Av. Visconde Nacar -  Nº1415;PR;M.PR.KJE;CURITIBA PPI BRT JESUÍNO MARCONDES;;;
KMR;Manoel Ribas -  115 - 5º andar;PR;M.PR.KMR;Curitiba EMBRATEL MANOEL RIBAS;;;
KPA;AVENIDA MARECHAL DEODORO - 950;PR;M.PR.KPA;Curitiba Patriarca;;;
ZCL;Rua Comendador Araújo -  565 - BATEL;PR;M.PR.ZCL;CURITIBA CLARO REP TX;;;
KAI;AVENIDA SETE DE SETEMBRO - 2775;PR;M.PR.KAI;CURITIBA - SHOPPING ESTAÇÃO INDOOR;;;
KBZ;RUA BRASÍLIO CUMAN - 1010;PR;M.PR.KBZ;CURITIBA SÃO BRAZ 2;;;
KF2;AV FREDOLIN WOLF - Nº S/N - CURITIBA;PR;M.PR.KF2;CURITIBA - SANTA FELICIDADE 2;;;
KML;RUA MATEUS LEME - 1284;PR;M.PR.KML;CURITIBA  MATEUS LEME;;;
