WKT;UF;Área Tarifação;sigla;UF_Sigla;Sigla Prisma;Unidade de Negócio;Região;CM Ability;Nome do Site;Endereço;;Município;Latitude;Longitude;Fiscal responsável Vivo;Coordenador Vivo;Coordenador responsável Ability;Classificação Contratual;Modalidade;Tipo de Site;Site ao qual está associado;Detentor do site (conforme Science ou atualizações de campo);Detentor do gabinete (conforme PMTS);Sequencial Science;Monoerb;Site com GMG;Site com GPON da Rede Fixa;;;
POINT (-49.714258 -25.453494);PR;41.0;XSL;PR_XSL;M.PR.XSL;M.CT.42.PGO_2;PR - Ponta Grossa e Guarapuava;PONTA GROSSA;São Luis do Purunã;ESTRADA DA TORRE DA EMBRATEL - DIVISA COM TERRENO DA MADEIREIRA VASSOLER;BALSA NOVA;-25.453.494;-49.714.258;David Ricardo Kalinoski Luiz;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ I;Custo Fixo;ERB / Site de TX;;TELXIUS;;907;905;NÃO;X;;;;
POINT (-49.10575 -25.221167);PR;41.0;BUV;PR_BUV;M.PR.BUV;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Bocaiúva do Sul;Rua Manoel Sobrinho;107;BOCAIÚVA DO SUL;-25.221.167;-4.910.575;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SP TORRES;;908;6;SIM;;;;
POINT (-48.859427 -25.136283);PR;41.0;XCP;PR_XCP;M.PR.XCP;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Campina Grande do Sul Capivari;RODOVIA BR 116; KM 38;CAMPINA GRANDE DO SUL;-25.136.283;-48.859.427;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;SBA;;907;795;NÃO;;;;
POINT (-48.822056 -25.122861);PR;41.0;ZJG;PR_ZJG;M.PR.ZJG;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Campina Grande do Sul Jaguatirica Serra do Capivari;RODOVIA BR 116; Km 35;CAMPINA GRANDE DO SUL;-25.122.861;-48.822.056;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ K2;Sob demanda - Básica;ERB / Site de TX;;VIVO;;915;625;NÃO;;;;
POINT (-49.060739 -25.310142);PR;41.0;CKG;PR_CKG;M.PR.CKG;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Campina Grande do Sul Cidade ;RODOVIA PR 506; S/N;CAMPINA GRANDE DO SUL;-25.310.142;-49.060.739;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;907;678;NÃO;;;;
POINT (-49.082847 -25.342558);PR;41.0;KAC;PR_KAC;M.PR.KAC;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Campina Grande do Sul Araçatuba;RODOVIA PR 506 RODOVIA DO CAQUI - Nº S/Nº;CAMPINA GRANDE DO SUL;-25.342.558;-49.082.847;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CLARO;;976;33;NÃO;;;;;
POINT (-48.576947 -25.067222);PR;41.0;XDV;PR_XDV;M.PR.XDV;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Divisa de Estado;RODOVIA BR 116; KM 2;CAMPINA GRANDE DO SUL;-25.067.222;-48.576.947;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;907;792;NÃO;;;;
POINT (-48.815972 -25.105808);PR;41.0;XPA;PR_XPA;M.PR.XPA;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Posto Alpino;RODOVIA BR 116; KM 31;CAMPINA GRANDE DO SUL;-25.105.808;-48.815.972;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L;Custo Fixo;ERB / Site de TX;;TELXIUS;;907;823;NÃO;;;;
POINT (-48.640528 -25.083492);PR;41.0;XPF;PR_XPF;M.PR.XPF;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Polícia Florestal;RODOVIA BR 116; KM 10;3;CAMPINA GRANDE DO SUL;-25.083.492;-48.640.528;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS;;907;791;NÃO;;;
POINT (-48.680467 -25.099753);PR;41.0;XPH;PR_XPH;M.PR.XPH;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Posto Palhoça;RODOVIA BR 116; KM 14;CAMPINA GRANDE DO SUL;-25.099.753;-48.680.467;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS;;907;790;NÃO;;;;
POINT (-48.611111 -25.091389);PR;41.0;ZFP;PR_ZFP;M.PR.ZFP;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Fazenda Palhoça;RODOVIA BR 116; KM 6;8;CAMPINA GRANDE DO SUL;-25.091.389;-48.611.111;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS;;907;821;NÃO;;;
POINT (-48.944069 -25.301508);PR;41.0;XGR;PR_XGR;M.PR.XGR;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Graciosa;RODOVIA BR 116; KM 60;CAMPINA GRANDE DO SUL;-25.301.508;-48.944.069;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L1;Sob demanda - Completa;ERB / Site de TX;;SBA;;907;794;NÃO;;;;
POINT (-48.907458 -25.244705);PR;41.0;XTB;PR_XTB;M.PR.XTB;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Terra Boa;RODOVIA BR 116; KM 51;CAMPINA GRANDE DO SUL;-25.244.705;-48.907.458;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L1;Sob demanda - Completa;ERB / Site de TX;;SBA;;907;793;NÃO;;;;
POINT (-48.886952 -25.194508);PR;41.0;XPG;PR_XPG;M.PR.XPG;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;Praia Grande;RODOVIA BR 116; KM 45;CAMPINA GRANDE DO SUL;-25.194.508;-48.886.952;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;TELXIUS;;907;822;NÃO;;;;
POINT (-49.110689 -25.361519);PR;41.0;CJT;PR_CJT;M.PR.CJT;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;CAMPINA GRANDE DO SUL - JOÃO TREVISAN;RUA PRESIDENTE HUMBERTO ALENCAR CASTELO BRANCO; S/N;CAMPINA GRANDE DO SUL;-25.361.519;-49.110.689;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;CSS - CELL SITE SOLUTIONS;;1;19;54;NÃO;;;
POINT (-49.052472 -25.309333);PR;41.0;C0A;PR_C0A;M.PR.C0A;M.CT.41.CTA_2;PR - Metropolitana Norte e Litoral;CURITIBA;CAMPINA GRANDE DO SUL - JARDIM DA COLINA;RUA CORONEL MONTEIRO;799;CAMPINA GRANDE DO SUL;-25.309.333;-49.052.472;Antonio Carlos Gonçalves Barcellos;Davi Zaneli Marchetti;LUCAS BARROS LOPES;TIPO 8 _ L2;Sob demanda - Básica;ERB / Site de TX;;ATC;;1;88;727;NÃO;;;
